,x,y,z
0,0.0,0.0,0.0
1,0.9998476951563913,0.01745240643728351,0.0
2,1.999238522175487,0.05235190313978448,0.0
3,2.997868056930061,0.10468785938272832,0.0
4,3.9954321071898855,0.17444433312685362,0.0
5,4.991626805281631,0.2616000758745118,0.0
6,5.986148700649904,0.36612853914216525,0.0
7,6.978694852291227,0.48799788254731274,0.0
8,7.968962921032798,0.6271709835073782,0.0
9,8.956651261627936,0.7836054485476092,0.0
10,9.941459014640145,0.9572536262145396,0.0
11,10.923086198087809,1.1480626215910845,0.0
12,11.901233798821615,1.355974312408844,0.0
13,12.87560386360685,1.580925366752709,0.0
14,13.845899589882848,1.8228472623523768,0.0
15,14.811825416171917,2.081666307454898,0.0
16,15.773087112110236,2.357303663271897,0.0
17,16.72939186807327,2.6496753679946337,0.0
18,17.680448384368425,2.958692362369581,0.0
19,18.625966959967744,3.284260516826738,0.0
20,19.565659580753653,3.626280660152407,0.0
21,20.499240007250854,3.9846486096977074,0.0
22,21.426423861817643,4.359255203113619,0.0
23,22.346928715270085,4.749986331602893,0.0
24,23.260474172912687,5.156722974678694,0.0
25,24.166781959949336,5.579341236419394,0.0
26,25.065576006248506,6.017712383208472,0.0
27,25.956582530436876,6.471702882948018,0.0
28,26.839530123295802,6.9411744457339095,0.0
29,27.714149830435197,7.425984065980247,0.0
30,28.580175234219638,7.925984065980247,0.0
31,29.43734253492175,8.4410221408903,0.0
32,30.285390631078176,8.970941405123506,0.0
33,31.1240611990236,9.515580440138534,0.0
34,31.95309877157864,10.07477334360928,0.0
35,32.772250815867636,10.648349779960327,0.0
36,33.581267810242586,11.2361350322528,0.0
37,34.37990332028988,11.83795005540485,0.0
38,35.1679140738966,12.453611530730509,0.0
39,35.94506003535357,13.082931921780347,0.0
40,36.71110447847255,13.725719531466886,0.0
41,37.46581405869532,14.381778560457395,0.0
42,38.208958884172716,15.050909166816254,0.0
43,38.94031258579189,15.732907526878753,0.0
44,39.65965238613054,16.42756589733775,0.0
45,40.366759167317085,17.1346726785243,0.0
46,41.06141753777608,17.854012478862952,0.0
47,41.74341589783858,18.585366180482122,0.0
48,42.412546504197444,19.328511005959516,0.0
49,43.06860553318795,20.08322058618229,0.0
50,43.71139314287449,20.849265029301268,0.0
51,44.34071353392433,21.62641099075824,0.0
52,44.95637500924999,22.414421744364965,0.0
53,45.55819003240204,23.21305725441226,0.0
54,46.145975284694515,24.02207424878721,0.0
55,46.71955172104556,24.841226293076204,0.0
56,47.27874462451631,25.67026386563125,0.0
57,47.82338365953134,26.508934433576673,0.0
58,48.353302923764545,27.356982529733102,0.0
59,48.8683409986746,28.214149830435215,0.0
60,49.3683409986746,29.080175234219656,0.0
61,49.853150618920935,29.954794941359054,0.0
62,50.322622181706826,30.837742534217984,0.0
63,50.77661268144637,31.728749058406354,0.0
64,51.214983828235454,32.62754310470552,0.0
65,51.637602089976156,33.533850891742176,0.0
66,52.04433873305196,34.44739634938478,0.0
67,52.43506986154123,35.367901202837224,0.0
68,52.80967645495714,36.295085057404016,0.0
69,53.168044404502446,37.22866548390122,0.0
70,53.510064547828115,38.16835810468713,0.0
71,53.835632702285274,39.113876680286445,0.0
72,54.144649696660224,40.0649331965816,0.0
73,54.437021401382964,41.02123795254464,0.0
74,54.71265875719996,41.98249964848296,0.0
75,54.97147780230248,42.94842547477203,0.0
76,55.21339969790215,43.91872120104803,0.0
77,55.438350752246016,44.89309126583327,0.0
78,55.646262443063776,45.871238866567076,0.0
79,55.83707143844032,46.85286605001474,0.0
80,56.01071961610725,47.83767380302695,0.0
81,56.16715408114749,48.825362143622094,0.0
82,56.30632718210755,49.815630212363665,0.0
83,56.428196525512696,50.80817636400499,0.0
84,56.53272498878035,51.802698259373265,0.0
